case_id,case_title,case_description,side,principle,article,weight,keywords
1,Furto de celular,"Pessoa A subtrai celular de B em via pública; aparelho de baixo valor; acusação simples.",acusacao,Direito de propriedade,"Art. 5º, XXII",3,"direito de propriedade;propriedade;furto"
1,Furto de celular,"Pessoa A subtrai celular de B em via pública; aparelho de baixo valor; acusação simples.",defesa,Princípio da proporcionalidade,"Jurisprudência e doutrina",2,"proporcionalidade;pena;culpa"
1,Furto de celular,"Pessoa A subtrai celular de B em via pública; aparelho de baixo valor; acusação simples.",defesa,Erro de tipo,"CP Art. 20",2,"erro de tipo;ausência de dolo"
1,Furto de celular,"Pessoa A subtrai celular de B em via pública; aparelho de baixo valor; acusação simples.",acusacao,Tipicidade do delito,"CP Art. 155",3,"furto;tipicidade"
2,Liberdade de expressão x Honra,"Jornal publica declaração que ofende reputação de C; disputa entre liberdade de imprensa e direito à honra.",defesa,Liberdade de expressão,"Art. 5º, IX",3,"liberdade de expressão;imprensa;publicação"
2,Liberdade de expressão x Honra,"Jornal publica declaração que ofende reputação de C; disputa entre liberdade de imprensa e direito à honra.",acusacao,Direito à honra,"Art. 5º, X",3,"honra;reputação;direito à honra"
2,Liberdade de expressão x Honra,"Jornal publica declaração que ofende reputação de C; disputa entre liberdade de imprensa e direito à honra.",acusacao,Responsabilidade por dano moral,"Civil Code / Jurisprudência",2,"dano moral;indenização"
2,Liberdade de expressão x Honra,"Jornal publica declaração que ofende reputação de C; disputa entre liberdade de imprensa e direito à honra.",defesa,Interesse público,"Constituição e doutrina",1,"interesse público;notícia de interesse"
3,Plano de saúde negou cobertura,"Operadora negou cobertura de procedimento essencial ao titular; o consumidor busca tutela.",defesa,Cláusula abusiva e boa-fé,"CDC Art. 51/4",3,"cláusula abusiva;boa-fé;consumidor"
3,Plano de saúde negou cobertura,"Operadora negou cobertura de procedimento essencial ao titular; o consumidor busca tutela.",acusacao,Obrigação contratual e cobertura,"ANS/Contratos",3,"cobertura;contrato;plano de saúde"
3,Plano de saúde negou cobertura,"Operadora negou cobertura de procedimento essencial ao titular; o consumidor busca tutela.",defesa,Exceção de contrato e risco,"Contratos e jurisprudência",1,"exceção;risco contratual"
3,Plano de saúde negou cobertura,"Operadora negou cobertura de procedimento essencial ao titular; o consumidor busca tutela.",acusacao,Princípio da dignidade da pessoa humana,"CF Art. 1º",2,"dignidade;vida;saúde"
4,Remédio de alto custo negado pelo Estado,"Paciente teve fornecimento negado pelo ente público; questão de saúde e direito fundamental.",acusacao,Obrigação do Estado à saúde,"CF Art. 196",4,"direito à saúde;saúde pública;CF196"
4,Remédio de alto custo negado pelo Estado,"Paciente teve fornecimento negado pelo ente público; questão de saúde e direito fundamental.",defesa,Exaurimento de vias administrativas,"Lei/Normativa do Estado",1,"vias administrativas;procedimento administrativo"
4,Remédio de alto custo negado pelo Estado,"Paciente teve fornecimento negado pelo ente público; questão de saúde e direito fundamental.",acusacao,Princípio da dignidade da pessoa humana,"CF Art. 1º",3,"dignidade;direitos fundamentais"
4,Remédio de alto custo negado pelo Estado,"Paciente teve fornecimento negado pelo ente público; questão de saúde e direito fundamental.",defesa,Disponibilidade orçamentária,"Orçamento Público/Jurisprudência",1,"orçamento;recursos;disponibilidade"
